onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.14, 0.16, 0.15, 1.00, 0.00, 0.00, 0.00
ont_2_musicalwork, 0.01, 0.02, 0.01, 1.00, 0.01, 0.00, 0.00
ont_3_airport, 0.05, 0.08, 0.06, 1.00, 0.00, 0.00, 0.01
ont_4_building, 0.26, 0.25, 0.24, 1.00, 0.00, 0.00, 0.00
ont_5_athlete, 0.14, 0.18, 0.16, 1.00, 0.01, 0.00, 0.02
ont_6_politician, 0.22, 0.29, 0.24, 1.00, 0.01, 0.00, 0.02
ont_7_company, 0.12, 0.17, 0.13, 1.00, 0.00, 0.00, 0.01
ont_8_celestialbody, 0.10, 0.12, 0.10, 1.00, 0.02, 0.00, 0.00
ont_9_astronaut, 0.41, 0.40, 0.39, 1.00, 0.00, 0.00, 0.01
ont_10_comicscharacter, 0.08, 0.06, 0.06, 1.00, 0.01, 0.00, 0.02
ont_11_meanoftransportation, 0.07, 0.09, 0.08, 1.00, 0.02, 0.00, 0.03
ont_12_monument, 0.12, 0.18, 0.14, 1.00, 0.00, 0.00, 0.00
ont_13_food, 0.23, 0.28, 0.25, 1.00, 0.01, 0.00, 0.04
ont_14_writtenwork, 0.09, 0.13, 0.11, 1.00, 0.03, 0.00, 0.02
ont_15_sportsteam, 0.07, 0.06, 0.06, 1.00, 0.01, 0.00, 0.01
ont_16_city, 0.04, 0.08, 0.05, 1.00, 0.01, 0.00, 0.03
ont_17_artist, 0.16, 0.21, 0.18, 1.00, 0.00, 0.00, 0.01
ont_18_scientist, 0.14, 0.23, 0.15, 1.00, 0.01, 0.00, 0.02
ont_19_film, 0.14, 0.12, 0.10, 1.00, 0.00, 0.00, 0.02
