median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.120625, 0.379808, 0.174129, 1.000000, 0.015432, 0.000000, 0.035457
wikidata_tekgen, verified, 0.129133, 0.296892, 0.167781, 1.000000, 0.022038, 0.000000, 0.013975
wikidata_tekgen, all, 0.109616, 0.268479, 0.135070, 1.000000, 0.020575, 0.000000, 0.020218
dbpedia_webnlg, all, 0.111033, 0.175595, 0.121888, 1.000000, 0.007080, 0.000000, 0.016204

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.090200, 0.355093, 0.147866, 1.000000, 0.009455, 0.000000, 0.012527
wikidata_tekgen, verified, 0.086913, 0.245477, 0.126768, 1.000000, 0.010397, 0.000000, 0.012062
wikidata_tekgen, all, 0.082996, 0.211567, 0.117579, 1.000000, 0.016816, 0.000000, 0.013314
dbpedia_webnlg, all, 0.074733, 0.093217, 0.070798, 1.000000, 0.004432, 0.000000, 0.006328

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.126457, 0.580357, 0.195179, 1.000000, 0.035782, 0.000000, 0.057407
wikidata_tekgen, verified, 0.163817, 0.408389, 0.195403, 1.000000, 0.024550, 0.000000, 0.033050
wikidata_tekgen, all, 0.138105, 0.317793, 0.170476, 1.000000, 0.029316, 0.000000, 0.026781
dbpedia_webnlg, all, 0.136291, 0.224827, 0.157437, 1.000000, 0.012736, 0.000000, 0.023789

