onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.09, 0.38, 0.14, 1.00, 0.01, 0.00, 0.02
ont_2_music, 0.14, 0.37, 0.17, 1.00, 0.01, 0.00, 0.00
ont_3_sport, 0.03, 0.19, 0.06, 1.00, 0.03, 0.00, 0.04
ont_4_book, 0.13, 0.35, 0.17, 1.00, 0.01, 0.00, 0.03
ont_5_military, 0.13, 0.57, 0.21, 1.00, 0.07, 0.00, 0.15
ont_6_computer, 0.07, 0.20, 0.10, 1.00, 0.04, 0.00, 0.06
ont_7_space, 0.12, 0.60, 0.20, 1.00, 0.18, 0.00, 0.09
ont_8_politics, 0.10, 0.58, 0.17, 1.00, 0.02, 0.00, 0.05
ont_9_nature, 0.12, 0.60, 0.20, 1.00, 0.01, 0.00, 0.01
ont_10_culture, 0.12, 0.38, 0.17, 1.00, 0.00, 0.00, 0.00
