onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.11, 0.15, 0.12, 0.32, 0.00, 0.68, 0.00
ont_2_musicalwork, 0.00, 0.01, 0.00, 0.30, 0.02, 0.70, 0.00
ont_3_airport, 0.02, 0.05, 0.03, 0.22, 0.00, 0.78, 0.01
ont_4_building, 0.10, 0.19, 0.13, 0.41, 0.00, 0.59, 0.01
ont_5_athlete, 0.01, 0.03, 0.01, 0.03, 0.01, 0.97, 0.02
ont_6_politician, 0.03, 0.06, 0.04, 0.22, 0.01, 0.78, 0.02
ont_7_company, 0.01, 0.04, 0.02, 0.17, 0.01, 0.83, 0.01
ont_8_celestialbody, 0.00, 0.00, 0.00, 0.01, 0.03, 0.99, 0.01
ont_9_astronaut, 0.03, 0.04, 0.03, 0.03, 0.00, 0.97, 0.02
ont_10_comicscharacter, 0.07, 0.13, 0.09, 0.50, 0.01, 0.50, 0.02
ont_11_meanoftransportation, 0.06, 0.12, 0.08, 0.45, 0.01, 0.55, 0.03
ont_12_monument, 0.01, 0.04, 0.02, 0.38, 0.01, 0.62, 0.01
ont_13_food, 0.06, 0.12, 0.08, 0.32, 0.01, 0.68, 0.03
ont_14_writtenwork, 0.10, 0.18, 0.12, 0.54, 0.02, 0.46, 0.03
ont_15_sportsteam, 0.09, 0.13, 0.10, 0.29, 0.00, 0.71, 0.01
ont_16_city, 0.07, 0.18, 0.10, 0.43, 0.01, 0.57, 0.04
ont_17_artist, 0.14, 0.23, 0.17, 0.47, 0.00, 0.53, 0.01
ont_18_scientist, 0.03, 0.08, 0.04, 0.13, 0.02, 0.87, 0.02
ont_19_film, 0.02, 0.09, 0.02, 0.19, 0.01, 0.81, 0.03
