onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.13, 0.31, 0.17, 0.49, 0.04, 0.51, 0.03
ont_2_music, 0.14, 0.42, 0.20, 0.60, 0.04, 0.40, 0.02
ont_3_sport, 0.09, 0.37, 0.13, 0.45, 0.02, 0.55, 0.02
ont_4_book, 0.11, 0.38, 0.16, 0.47, 0.04, 0.53, 0.02
ont_5_military, 0.04, 0.22, 0.07, 0.12, 0.02, 0.88, 0.03
ont_6_computer, 0.10, 0.35, 0.15, 0.34, 0.03, 0.66, 0.03
ont_7_space, 0.10, 0.50, 0.17, 0.22, 0.02, 0.78, 0.02
ont_8_politics, 0.08, 0.43, 0.13, 0.38, 0.03, 0.62, 0.04
ont_9_nature, 0.07, 0.35, 0.11, 0.40, 0.02, 0.60, 0.04
ont_10_culture, 0.02, 0.11, 0.03, 0.26, 0.03, 0.74, 0.02
