onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.47, 0.47, 0.46, 0.97, 0.00, 0.03, 0.03
ont_2_musicalwork, 0.30, 0.31, 0.30, 0.97, 0.47, 0.03, 0.21
ont_3_airport, 0.44, 0.41, 0.41, 1.00, 0.03, 0.00, 0.13
ont_4_building, 0.50, 0.47, 0.48, 1.00, 0.00, 0.00, 0.09
ont_5_athlete, 0.46, 0.46, 0.46, 1.00, 0.00, 0.00, 0.13
ont_6_politician, 0.53, 0.51, 0.51, 0.99, 0.06, 0.01, 0.18
ont_7_company, 0.49, 0.49, 0.48, 0.99, 0.11, 0.01, 0.26
ont_8_celestialbody, 0.73, 0.70, 0.71, 1.00, 0.07, 0.00, 0.36
ont_9_astronaut, 0.56, 0.55, 0.55, 1.00, 0.02, 0.00, 0.32
ont_10_comicscharacter, 0.53, 0.51, 0.52, 1.00, 0.57, 0.00, 0.18
ont_11_meanoftransportation, 0.33, 0.32, 0.32, 0.98, 0.02, 0.02, 0.19
ont_12_monument, 0.20, 0.22, 0.21, 1.00, 0.00, 0.00, 0.11
ont_13_food, 0.55, 0.53, 0.53, 0.98, 0.03, 0.02, 0.06
ont_14_writtenwork, 0.53, 0.52, 0.52, 0.99, 0.08, 0.01, 0.23
ont_15_sportsteam, 0.53, 0.51, 0.52, 1.00, 0.01, 0.00, 0.09
ont_16_city, 0.31, 0.29, 0.29, 0.99, 0.32, 0.01, 0.18
ont_17_artist, 0.34, 0.33, 0.33, 0.99, 0.01, 0.01, 0.06
ont_18_scientist, 0.65, 0.65, 0.65, 0.98, 0.00, 0.02, 0.21
ont_19_film, 0.40, 0.39, 0.40, 1.00, 0.02, 0.00, 0.13
