onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.19, 0.31, 0.22, 1.00, 0.00, 0.00, 0.09
ont_2_music, 0.30, 0.41, 0.33, 1.00, 0.00, 0.00, 0.02
ont_3_sport, 0.20, 0.31, 0.23, 0.92, 0.00, 0.08, 0.11
ont_4_book, 0.29, 0.45, 0.34, 1.00, 0.00, 0.00, 0.03
ont_5_military, 0.64, 0.64, 0.64, 1.00, 0.00, 0.00, 0.11
ont_6_computer, 0.58, 0.60, 0.58, 0.70, 0.05, 0.30, 0.05
ont_7_space, 0.80, 0.90, 0.83, 1.00, 0.00, 0.00, 0.20
ont_8_politics, 0.42, 0.42, 0.42, 1.00, 0.00, 0.00, 0.17
ont_9_nature, 0.80, 0.85, 0.82, 1.00, 0.00, 0.00, 0.05
ont_10_culture, 0.81, 0.88, 0.83, 1.00, 0.00, 0.00, 0.00
