onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.33, 0.31, 0.30, 1.00, 0.15, 0.00, 0.09
ont_2_music, 0.40, 0.38, 0.36, 0.99, 0.10, 0.01, 0.06
ont_3_sport, 0.51, 0.55, 0.50, 0.97, 0.10, 0.03, 0.06
ont_4_book, 0.37, 0.40, 0.36, 1.00, 0.07, 0.00, 0.04
ont_5_military, 0.26, 0.30, 0.27, 0.98, 0.08, 0.02, 0.08
ont_6_computer, 0.40, 0.39, 0.38, 0.88, 0.04, 0.12, 0.01
ont_7_space, 0.74, 0.77, 0.74, 0.99, 0.08, 0.01, 0.05
ont_8_politics, 0.36, 0.41, 0.37, 0.99, 0.11, 0.01, 0.08
ont_9_nature, 0.42, 0.48, 0.43, 0.99, 0.09, 0.01, 0.06
ont_10_culture, 0.51, 0.64, 0.55, 0.97, 0.05, 0.03, 0.01
