onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.41, 0.39, 0.37, 1.00, 0.13, 0.00, 0.07
ont_2_music, 0.42, 0.38, 0.38, 0.99, 0.07, 0.01, 0.04
ont_3_sport, 0.46, 0.51, 0.46, 0.96, 0.06, 0.04, 0.05
ont_4_book, 0.39, 0.43, 0.38, 1.00, 0.03, 0.00, 0.02
ont_5_military, 0.29, 0.33, 0.30, 0.96, 0.07, 0.04, 0.05
ont_6_computer, 0.40, 0.42, 0.40, 0.91, 0.01, 0.09, 0.01
ont_7_space, 0.82, 0.86, 0.83, 0.99, 0.01, 0.01, 0.05
ont_8_politics, 0.45, 0.52, 0.47, 0.99, 0.11, 0.01, 0.08
ont_9_nature, 0.58, 0.63, 0.59, 1.00, 0.03, 0.00, 0.06
ont_10_culture, 0.67, 0.81, 0.71, 0.97, 0.00, 0.03, 0.02
