onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.58, 0.41, 0.47, 1.00, 0.00, 0.00, 0.01
ont_2_musicalwork, 0.34, 0.30, 0.31, 1.00, 0.47, 0.00, 0.20
ont_3_airport, 0.47, 0.35, 0.39, 1.00, 0.00, 0.00, 0.13
ont_4_building, 0.60, 0.41, 0.47, 1.00, 0.00, 0.00, 0.10
ont_5_athlete, 0.54, 0.46, 0.48, 1.00, 0.00, 0.00, 0.13
ont_6_politician, 0.64, 0.49, 0.54, 1.00, 0.02, 0.00, 0.16
ont_7_company, 0.72, 0.56, 0.61, 1.00, 0.00, 0.00, 0.29
ont_8_celestialbody, 0.82, 0.75, 0.77, 1.00, 0.00, 0.00, 0.33
ont_9_astronaut, 0.72, 0.60, 0.64, 1.00, 0.00, 0.00, 0.26
ont_10_comicscharacter, 0.64, 0.56, 0.59, 1.00, 0.58, 0.00, 0.18
ont_11_meanoftransportation, 0.48, 0.36, 0.40, 1.00, 0.04, 0.00, 0.18
ont_12_monument, 0.23, 0.24, 0.23, 1.00, 0.00, 0.00, 0.05
ont_13_food, 0.66, 0.54, 0.58, 1.00, 0.03, 0.00, 0.06
ont_14_writtenwork, 0.59, 0.54, 0.56, 1.00, 0.07, 0.00, 0.19
ont_15_sportsteam, 0.62, 0.52, 0.55, 1.00, 0.02, 0.00, 0.08
ont_16_city, 0.42, 0.35, 0.37, 1.00, 0.30, 0.00, 0.21
ont_17_artist, 0.43, 0.32, 0.36, 1.00, 0.00, 0.00, 0.06
ont_18_scientist, 0.77, 0.70, 0.72, 1.00, 0.00, 0.00, 0.22
ont_19_film, 0.43, 0.38, 0.40, 1.00, 0.00, 0.00, 0.15
