median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.433333, 0.433333, 0.433333, 1.000000, 0.000000, 0.000000, 0.050641
wikidata_tekgen, verified, 0.487242, 0.423115, 0.408767, 1.000000, 0.028021, 0.000000, 0.041342
wikidata_tekgen, all, 0.453996, 0.357192, 0.362583, 1.000000, 0.046397, 0.000000, 0.040011
dbpedia_webnlg, all, 0.580516, 0.508879, 0.524499, 1.000000, 0.006329, 0.000000, 0.166667

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.315972, 0.318750, 0.315972, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.423575, 0.365571, 0.386820, 1.000000, 0.000000, 0.000000, 0.022386
wikidata_tekgen, all, 0.414916, 0.344197, 0.355395, 0.998479, 0.039367, 0.000000, 0.021831
dbpedia_webnlg, all, 0.466582, 0.374656, 0.402559, 1.000000, 0.000000, 0.000000, 0.114695

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.742857, 0.742857, 0.742857, 1.000000, 0.000000, 0.000000, 0.078125
wikidata_tekgen, verified, 0.660355, 0.621288, 0.628611, 1.000000, 0.060033, 0.000000, 0.057560
wikidata_tekgen, all, 0.629263, 0.546876, 0.568161, 1.000000, 0.071824, 0.001521, 0.053206
dbpedia_webnlg, all, 0.671820, 0.566452, 0.596590, 1.000000, 0.034635, 0.000000, 0.216389

