onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.44, 0.27, 0.31, 1.00, 0.08, 0.00, 0.04
ont_2_music, 0.47, 0.32, 0.36, 1.00, 0.04, 0.00, 0.03
ont_3_sport, 0.66, 0.56, 0.59, 1.00, 0.11, 0.00, 0.05
ont_4_book, 0.44, 0.34, 0.36, 1.00, 0.05, 0.00, 0.02
ont_5_military, 0.35, 0.36, 0.35, 1.00, 0.04, 0.00, 0.08
ont_6_computer, 0.41, 0.36, 0.37, 0.95, 0.01, 0.05, 0.01
ont_7_space, 0.79, 0.77, 0.77, 1.00, 0.04, 0.00, 0.04
ont_8_politics, 0.37, 0.36, 0.35, 1.00, 0.06, 0.00, 0.06
ont_9_nature, 0.53, 0.51, 0.51, 1.00, 0.08, 0.00, 0.05
ont_10_culture, 0.67, 0.68, 0.67, 1.00, 0.04, 0.00, 0.01
