onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.23, 0.23, 0.23, 1.00, 0.00, 0.00, 0.05
ont_2_music, 0.30, 0.30, 0.30, 1.00, 0.00, 0.00, 0.00
ont_3_sport, 0.38, 0.38, 0.38, 1.00, 0.00, 0.00, 0.06
ont_4_book, 0.22, 0.30, 0.25, 1.00, 0.00, 0.00, 0.00
ont_5_military, 0.57, 0.57, 0.57, 1.00, 0.00, 0.00, 0.14
ont_6_computer, 0.45, 0.45, 0.45, 0.90, 0.00, 0.10, 0.05
ont_7_space, 0.80, 0.80, 0.80, 1.00, 0.00, 0.00, 0.20
ont_8_politics, 0.42, 0.42, 0.42, 1.00, 0.08, 0.00, 0.08
ont_9_nature, 0.80, 0.80, 0.80, 1.00, 0.00, 0.00, 0.00
ont_10_culture, 0.88, 0.88, 0.88, 1.00, 0.00, 0.00, 0.00
