onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.49, 0.31, 0.35, 1.00, 0.11, 0.00, 0.06
ont_2_music, 0.53, 0.37, 0.41, 1.00, 0.03, 0.00, 0.05
ont_3_sport, 0.63, 0.56, 0.57, 1.00, 0.06, 0.00, 0.05
ont_4_book, 0.47, 0.37, 0.39, 1.00, 0.01, 0.00, 0.01
ont_5_military, 0.34, 0.34, 0.34, 1.00, 0.04, 0.00, 0.03
ont_6_computer, 0.43, 0.43, 0.42, 0.99, 0.00, 0.01, 0.01
ont_7_space, 0.85, 0.82, 0.83, 1.00, 0.00, 0.00, 0.04
ont_8_politics, 0.45, 0.45, 0.45, 1.00, 0.06, 0.00, 0.08
ont_9_nature, 0.70, 0.67, 0.67, 1.00, 0.03, 0.00, 0.07
ont_10_culture, 0.78, 0.79, 0.78, 1.00, 0.00, 0.00, 0.02
