median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.433333, 0.450000, 0.437500, 1.000000, 0.000000, 0.000000, 0.050000
wikidata_tekgen, verified, 0.496895, 0.430418, 0.408052, 1.000000, 0.022888, 0.000000, 0.066736
wikidata_tekgen, all, 0.447066, 0.360475, 0.358505, 1.000000, 0.048052, 0.000000, 0.039288

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.337500, 0.337500, 0.337500, 1.000000, 0.000000, 0.000000, 0.033565
wikidata_tekgen, verified, 0.414807, 0.383696, 0.380093, 1.000000, 0.013518, 0.000000, 0.025463
wikidata_tekgen, all, 0.369886, 0.342996, 0.352474, 1.000000, 0.021948, 0.000000, 0.020258

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.686607, 0.705357, 0.692857, 1.000000, 0.000000, 0.000000, 0.114583
wikidata_tekgen, verified, 0.733511, 0.664635, 0.684422, 1.000000, 0.045718, 0.000000, 0.080410
wikidata_tekgen, all, 0.637620, 0.576188, 0.609516, 1.000000, 0.072365, 0.000000, 0.067125

