onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.35, 0.45, 0.37, 1.00, 0.03, 0.00, 0.08
ont_2_music, 0.50, 0.38, 0.40, 1.00, 0.02, 0.00, 0.08
ont_3_sport, 0.68, 0.57, 0.60, 1.00, 0.18, 0.00, 0.07
ont_4_book, 0.50, 0.40, 0.41, 1.00, 0.03, 0.00, 0.03
ont_5_military, 0.25, 0.24, 0.25, 1.00, 0.01, 0.00, 0.08
ont_6_computer, 0.44, 0.35, 0.37, 1.00, 0.00, 0.00, 0.01
ont_7_space, 0.85, 0.81, 0.81, 1.00, 0.05, 0.00, 0.02
ont_8_politics, 0.41, 0.41, 0.41, 1.00, 0.06, 0.00, 0.09
ont_9_nature, 0.75, 0.70, 0.71, 1.00, 0.01, 0.00, 0.06
ont_10_culture, 0.75, 0.77, 0.76, 1.00, 0.00, 0.00, 0.00
