onto, P, R, F1, OC, SH, RH, OH
ont_1_university, 0.54, 0.42, 0.46, 1.00, 0.00, 0.00, 0.02
ont_2_musicalwork, 0.30, 0.28, 0.28, 0.99, 0.34, 0.01, 0.18
ont_3_airport, 0.45, 0.38, 0.40, 1.00, 0.00, 0.00, 0.09
ont_4_building, 0.58, 0.50, 0.53, 1.00, 0.00, 0.00, 0.10
ont_5_athlete, 0.50, 0.46, 0.47, 1.00, 0.00, 0.00, 0.12
ont_6_politician, 0.58, 0.52, 0.54, 1.00, 0.03, 0.00, 0.15
ont_7_company, 0.61, 0.54, 0.56, 1.00, 0.11, 0.00, 0.31
ont_8_celestialbody, 0.78, 0.72, 0.74, 1.00, 0.00, 0.00, 0.36
ont_9_astronaut, 0.63, 0.56, 0.59, 1.00, 0.00, 0.00, 0.29
ont_10_comicscharacter, 0.59, 0.55, 0.57, 1.00, 0.62, 0.00, 0.12
ont_11_meanoftransportation, 0.41, 0.36, 0.38, 1.00, 0.00, 0.00, 0.17
ont_12_monument, 0.21, 0.22, 0.22, 1.00, 0.00, 0.00, 0.05
ont_13_food, 0.63, 0.60, 0.60, 0.99, 0.03, 0.01, 0.05
ont_14_writtenwork, 0.60, 0.55, 0.57, 0.99, 0.07, 0.01, 0.24
ont_15_sportsteam, 0.56, 0.52, 0.54, 1.00, 0.00, 0.00, 0.08
ont_16_city, 0.30, 0.27, 0.28, 1.00, 0.18, 0.00, 0.14
ont_17_artist, 0.42, 0.38, 0.39, 1.00, 0.00, 0.00, 0.07
ont_18_scientist, 0.74, 0.70, 0.72, 1.00, 0.00, 0.00, 0.19
ont_19_film, 0.40, 0.37, 0.38, 1.00, 0.01, 0.00, 0.10
