median
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.378125, 0.443750, 0.383333, 1.000000, 0.000000, 0.000000, 0.036218
wikidata_tekgen, verified, 0.454119, 0.435098, 0.413580, 1.000000, 0.020387, 0.000000, 0.030081
wikidata_tekgen, all, 0.376106, 0.342653, 0.333966, 1.000000, 0.030574, 0.000000, 0.035951
dpedia_webnlg, all, 0.557424, 0.498382, 0.525150, 1.000000, 0.003623, 0.000000, 0.124143

p-25
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.335648, 0.355093, 0.337037, 1.000000, 0.000000, 0.000000, 0.000000
wikidata_tekgen, verified, 0.420594, 0.372298, 0.368993, 1.000000, 0.008561, 0.000000, 0.014209
wikidata_tekgen, all, 0.347551, 0.300104, 0.309797, 0.998479, 0.017984, 0.000000, 0.021671
dpedia_webnlg, all, 0.414984, 0.372050, 0.384933, 0.996579, 0.000000, 0.000000, 0.088881

p-75
dataset, subset, P, R, F1, OC, SH, RH, OH
wikidata_tekgen, unseen, 0.613393, 0.619643, 0.615476, 1.000000, 0.000000, 0.000000, 0.069196
wikidata_tekgen, verified, 0.555975, 0.545297, 0.538139, 1.000000, 0.037418, 0.000000, 0.042173
wikidata_tekgen, all, 0.490509, 0.456584, 0.465441, 1.000000, 0.039703, 0.001521, 0.043109
dpedia_webnlg, all, 0.604440, 0.552366, 0.566343, 1.000000, 0.051290, 0.003421, 0.184995

