onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.47, 0.31, 0.34, 1.00, 0.13, 0.00, 0.04
ont_2_music, 0.50, 0.35, 0.39, 1.00, 0.08, 0.00, 0.03
ont_3_sport, 0.70, 0.59, 0.62, 1.00, 0.11, 0.00, 0.05
ont_4_book, 0.46, 0.38, 0.39, 1.00, 0.06, 0.00, 0.03
ont_5_military, 0.35, 0.36, 0.35, 1.00, 0.03, 0.00, 0.07
ont_6_computer, 0.41, 0.36, 0.37, 0.92, 0.02, 0.07, 0.00
ont_7_space, 0.81, 0.78, 0.79, 1.00, 0.08, 0.00, 0.03
ont_8_politics, 0.38, 0.36, 0.36, 1.00, 0.07, 0.00, 0.06
ont_9_nature, 0.54, 0.53, 0.52, 1.00, 0.10, 0.00, 0.05
ont_10_culture, 0.67, 0.69, 0.68, 1.00, 0.05, 0.00, 0.00
