Ontology,Train,Test
1. University,1.00,0.99
2. Musicalwork,0.84,0.95
3. Airport,0.99,0.98
4. Building,0.98,0.99
5. Athlete,0.94,0.94
6. Politician,0.99,1.00
7. Company,0.93,0.95
8. Celestialbody,0.97,0.99
9. Astronaut,0.98,0.97
10. Comicscharacter,0.97,0.95
11. Meanoftransportation,1.00,0.97
12. Monument,0.97,1.00
13. Food,0.97,0.99
14. Writtenwork,0.99,0.99
15. Sportsteam,0.95,0.98
16. City,0.96,0.98
17. Artist,0.99,0.97
18. Scientist,0.98,0.96
19. Film,0.98,0.92Ontology,Train,Test
1. University,1.00,1.00
2. Musicalwork,0.67,0.26
3. Airport,0.83,0.86
4. Building,0.79,0.97
5. Athlete,0.82,0.85
6. Politician,0.86,0.90
7. Company,0.99,0.98
8. Celestialbody,0.99,0.97
9. Astronaut,1.00,0.99
10. Comicscharacter,0.78,0.39
11. Meanoftransportation,0.86,0.89
12. Monument,0.83,0.69
13. Food,0.96,0.96
14. Writtenwork,0.96,0.86
15. Sportsteam,0.78,0.78
16. City,0.82,0.55
17. Artist,0.93,0.68
18. Scientist,0.95,1.00
19. Film,0.99,0.59
Ontology,Train,Test
1. University,1.00,1.00
2. Musicalwork,0.67,0.26
3. Airport,0.83,0.86
4. Building,0.79,0.97
5. Athlete,0.82,0.85
6. Politician,0.86,0.90
7. Company,0.99,0.98
8. Celestialbody,0.99,0.97
9. Astronaut,1.00,0.99
10. Comicscharacter,0.78,0.39
11. Meanoftransportation,0.86,0.89
12. Monument,0.83,0.69
13. Food,0.96,0.96
14. Writtenwork,0.96,0.86
15. Sportsteam,0.78,0.78
16. City,0.82,0.55
17. Artist,0.93,0.68
18. Scientist,0.95,1.00
19. Film,0.99,0.59
Ontology,Train,Test
1. University,1.00,1.00
2. Musicalwork,0.67,0.26
3. Airport,0.83,0.86
4. Building,0.79,0.97
5. Athlete,0.82,0.85
6. Politician,0.86,0.90
7. Company,0.99,0.98
8. Celestialbody,0.99,0.97
9. Astronaut,1.00,0.99
10. Comicscharacter,0.78,0.39
11. Meanoftransportation,0.86,0.89
12. Monument,0.83,0.69
13. Food,0.96,0.96
14. Writtenwork,0.96,0.86
15. Sportsteam,0.78,0.78
16. City,0.82,0.55
17. Artist,0.93,0.68
18. Scientist,0.95,1.00
19. Film,0.99,0.59
